plant_id,site_code,hor_pos,depth_treatment,tile_id,plant_no,binomial_code,trait_tdmc,trait_thickness,trait_STA,trait_SBA,trait_SAP,trait_float,dry_weight_g_daily_change
ZAG4,Z,A,-28,ZAG,4,as_no,0.29848484848484846,1.43,1766.7411167512691,NA,15.807602589909239,36.487126859966736,0.9476210205455723
ZAG3,Z,A,-28,ZAG,3,as_no,NA,NA,NA,NA,NA,0,NA
ZAG2,Z,A,-28,ZAG,2,as_no,NA,NA,NA,NA,NA,0,NA
ZAG1,Z,A,-28,ZAG,1,as_no,0.32043209876543216,1.8666666666666667,1487.6131766518972,NA,13.900524361289067,15.735197263212216,0.7264871384910945
ZDH9,Z,D,-40,ZDH,9,as_no,NA,NA,NA,NA,NA,0,NA
ZDH8,Z,D,-40,ZDH,8,as_no,0.3237121212121213,1.535,1463.164053358296,NA,14.292866483169803,43.132873627568735,0.5676406665912433
ZDH7,Z,D,-40,ZDH,7,as_no,NA,NA,NA,NA,NA,0,NA
ZDH6,Z,D,-40,ZDH,6,as_no,0.33253807106598987,1.5666666666666669,1432.4988551366205,NA,16.101375024449837,33.24944140572314,0.6900428714162699
ZDH5,Z,D,-40,ZDH,5,as_no,NA,NA,NA,NA,NA,0,NA
ZDH4,Z,D,-40,ZDH,4,as_no,NA,NA,NA,NA,NA,0,NA
ZDH3,Z,D,-40,ZDH,3,as_no,NA,NA,NA,NA,NA,0,NA
ZDH2,Z,D,-40,ZDH,2,as_no,0.3215929203539822,1.4466666666666668,1567.7765547605948,NA,17.05972535797486,21.439597635945756,0.52688521644596
ZDH1,Z,D,-40,ZDH,1,as_no,NA,NA,NA,NA,NA,0,NA
ZDF9,Z,D,-12,ZDF,9,as_no,0.34266331658291455,1.6566666666666667,1657.9997067018626,NA,14.937388193202146,21.393605581770878,0.8505729322533915
ZDF8,Z,D,-12,ZDF,8,as_no,0.3253153153153154,1.37,1871.0883411797283,NA,12.255422115082885,15.433911291798093,0.8545839918915403
ZDF7,Z,D,-12,ZDF,7,as_no,0.3407659574468085,1.4233333333333331,1663.7737262737267,NA,17.660891269566694,37.60914282269499,0.8848558841595509
ZDF6,Z,D,-12,ZDF,6,as_no,NA,NA,NA,NA,NA,0,NA
ZDF5,Z,D,-12,ZDF,5,as_no,0.3075609756097561,1.125,2004.8691514670895,NA,14.576284867563794,31.10268076562723,1.3037965723071103
ZDF4,Z,D,-12,ZDF,4,as_no,NA,NA,NA,NA,NA,0,NA
ZDF3,Z,D,-12,ZDF,3,as_no,0.29448132780082986,1.62,1968.2823728335918,NA,14.216262975778546,21.720090113588725,1.4557321602373605
ZDF2,Z,D,-12,ZDF,2,as_no,NA,NA,NA,NA,NA,0,NA
ZDF1,Z,D,-12,ZDF,1,as_no,NA,NA,NA,NA,NA,0,NA
ZAF9,Z,A,-12,ZAF,9,fu_ve,0.3359119496855346,0.3933333333333333,3365.231230106722,4326.455823293173,28.209172607108442,29.331726953568804,1.0742995082163964
ZAF8,Z,A,-12,ZAF,8,fu_ve,0.3037885462555066,0.3716666666666667,3933.7006960556837,5150.7647323436795,28.472077174413876,36.080936508745886,1.4021677865939373
ZAF7,Z,A,-12,ZAF,7,fu_ve,NA,NA,NA,NA,NA,0,NA
ZAF6,Z,A,-12,ZAF,6,fu_ve,0.3085074626865671,0.38,3656.0474117077893,4837.944954128441,31.841346285516853,35.26122378484916,0.854474886230072
ZAF5,Z,A,-12,ZAF,5,fu_ve,0.27920529801324506,0.3466666666666667,3812.5948766603415,5463.391542183884,30.06892474958775,35.419917172826096,0.7973546784279703
ZAF4,Z,A,-12,ZAF,4,fu_ve,0.28338775510204084,0.30333333333333334,4675.471698113207,7267.487922705313,28.36848319177552,65.45927368850977,1.271170459486304
ZAF3,Z,A,-12,ZAF,3,fu_ve,0.234294670846395,0.365,3727.3748996521276,5665.998821449617,33.26646223215736,25.500395279339145,1.2662949919669364
ZAF2,Z,A,-12,ZAF,2,fu_ve,0.267421875,0.35333333333333333,3414.8407829389425,4855.125448028673,27.08275892428922,64.61236424560953,1.1480679002101637
ZAF1,Z,A,-12,ZAF,1,fu_ve,0.29624999999999996,0.32333333333333336,3197.4055121644674,5625.89536516854,33.98609673125278,54.60205922748756,1.7703797411651485
ZAE9,Z,A,-5,ZAE,9,fu_sp,NA,NA,NA,NA,NA,0,NA
ZAE8,Z,A,-5,ZAE,8,fu_sp,0.27037735849056616,NA,4172.505233775295,5992.604501607714,9.562696017515828,0,-0.7431364721908812
ZAE7,Z,A,-5,ZAE,7,fu_sp,0.3181746031746032,0.3383333333333333,4041.0950361686205,5111.988815099616,32.201144479051344,0,0.9444321931921639
ZAE6,Z,A,-5,ZAE,6,fu_sp,NA,NA,NA,NA,NA,0,NA
ZAE5,Z,A,-5,ZAE,5,fu_sp,0.27897526501766784,0.255,4965.573147561748,5512.416346290759,38.169010656268405,0,1.2747259010937342
ZAE4,Z,A,-5,ZAE,4,fu_sp,0.286403162055336,0.2866666666666667,3109.7709080872205,3864.4881889763774,20.122359059812347,0,0.819021903732351
ZAE3,Z,A,-5,ZAE,3,fu_sp,NA,NA,NA,NA,NA,0,NA
ZAE2,Z,A,-5,ZAE,2,fu_sp,0.2965060240963855,0.245,3873.466070702966,4455.488418932528,20.267379906536092,0,0.3395523858753374
ZAE1,Z,A,-5,ZAE,1,fu_sp,0.3123655913978495,0.325,3265.1979345955247,4017.6917760884585,21.12264871521368,0,0.09276646132743285
ZBF9,Z,B,-12,ZBF,9,fu_se,0.27710526315789474,0.345,4527.825261158594,4890.229191797346,36.11449867064589,0,-1.4372633334477456
ZBF8,Z,B,-12,ZBF,8,fu_se,NA,NA,NA,NA,NA,0,NA
ZBF7,Z,B,-12,ZBF,7,fu_se,NA,NA,NA,NA,NA,0,NA
ZBF6,Z,B,-12,ZBF,6,fu_se,NA,NA,NA,NA,NA,0,NA
ZBF5,Z,B,-12,ZBF,5,fu_se,NA,NA,NA,NA,NA,0,NA
ZBF4,Z,B,-12,ZBF,4,fu_se,NA,NA,NA,NA,NA,0,NA
ZBF3,Z,B,-12,ZBF,3,fu_se,NA,NA,NA,NA,NA,0,NA
ZBF1,Z,B,-12,ZBF,1,fu_se,NA,NA,NA,NA,NA,0,NA
ZAH9,Z,A,-40,ZAH,9,fu_ve,NA,NA,NA,NA,NA,0,NA
ZAH8,Z,A,-40,ZAH,8,fu_ve,0.26692015209125475,0.43333333333333335,3222.1509971509968,4724.8244192328475,26.67337249916865,36.0003247044697,1.2742792721518803
ZAH7,Z,A,-40,ZAH,7,fu_ve,0.3115315315315315,0.30333333333333334,2689.4447657605556,3801.642710472279,20.45569520022171,42.13259135421638,0.7639275112036931
ZAH6,Z,A,-40,ZAH,6,fu_ve,0.29650943396226415,0.32666666666666666,3529.5895641107227,4686.927341698279,29.53053542812422,39.50230406295534,1.3061649130490047
ZAH5,Z,A,-40,ZAH,5,fu_ve,0.30353075170842825,0.30333333333333334,3144.0225140712946,3828.3800593244664,37.50647950774542,19.122259523989204,1.6592551778779963
